240	0.5
86	0.9
416	1.4
500	1.5
354	0.35
31	0.41
18	0.6
7	0.7
1	0.5
0	0.3
2	0.15
4	0.39
54	0.21
22	0.01
40	-0.32
139	-0.53
35	-0.8
8	-1.02
7	-1.08
6	-1.03
14	-0.91
2	-1.17
4	-0.79
30	-0.66
73	-0.79
463	-0.8
579	-0.95
59	-1.23
197	-1.2
55	-1.32
24	-0.91
28	-1.33
3	-1.59
4	-1.91
6	1.2
13	1.3
59	1.4
500	1.4
550	1.6
600	1
309	0.8
210	0.9
64	-0.81
38	-0.91
8	-0.69
7	-1.01
10	-0.58
172	-0.56
308	-0.24
325	0.08
103	0.42
392	0.45
68	0.53
24	0.69
6	0.79
5	0.53
2	0.74
3	1.09
106	1.18
432	1.54
200	1.4
221	0.99
117	0.31
235	0.32
236	0.3
19	0.04
369	0.24
170	-0.31
12	-0.03
6	0.05
9	0.3
17	0.43
270	0.5
195	0.26
112	0.27
102	-0.01
24	-0.33
24	-0.28
5	-0.41
4	-0.53
2	0.8
3	0.95
36	1
269	1.6
219	1.2
313	1
291	0.5
68	0.05
19	-0.2
364	-0.25
138	0
14	0.03
30	-0.07
12	-0.38
52	0.02
79	-0.15
204	0.04
295	-0.1
532	0.13
476	-0.01
414	0.1
159	-0.32
48	-0.25
18	-0.52
4	-0.71
2	-0.19
6	-0.29
76	-0.25
346	-0.16
401	-0.41
508	-0.32
330	-0.42
79	-0.22
96	-0.3
30	-0.13
8	-0.56
7	-0.33
39	-0.43
141	-0.49
154	-0.32
160	-0.26
180	-0.06
548	-0.06
600	0
300	0.12
14	0.72
29	0.9
11	1
3	1.82
1	2
4	2.05
3	0.76
87	0.55
173	-0.16
788	-0.53
45	-0.74
21	-0.88
11	-0.65
8	-0.76
2	-0.93
16	-1
15	-1.1
7	-1.07
347	-0.57
276	-0.36
230	-0.34
449	-0.09
146	0.19
31	0.45
8	0.81
5	1.25
1	1.26
2	1.61
4	1.54
2	1.45
2	1.13
48	0.83
281	0.83
79	0.54
202	-0.06
332	0.14
25	0.23
14	-0.1
41	-0.05
11	-0.05
7	-0.37
119	-0.55
357	-0.56
97	-0.47
161	-0.53
466	-0.24
50	-0.12
476	-0.1
33	-0.31
14	-0.59
15	-0.38
7	-0.34
9	-0.35
38	-0.6
271	0.74
135	1
98	1.5
425	1.6
500	0.19
199	0.31
91	0.33
29	0.05
75	0.32
16	0.76
14	0.76
22	0.9
112	1.02
278	0.61
216	0.33
73	0.39
237	0.26
74	0.1
40	0.52
27	0.47
66	0.66
17	0.75
7	0.68
25	0.25
91	0.3
